,Artists,artist_uri,Songs,danceability,energy,genre
0,,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,,0.818,0.869,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'tropical']"
1,Hobo Johnson,spotify:artist:05SdqPzK4m3k1ljK2wrTSP,Happiness,0.638,0.46,"['emo rap', 'pop rap', 'sacramento hip hop']"
2,Bruno Major,spotify:artist:0hDjKSKjl1DC7ovYTDJHe8,Nothing,0.555,0.27,"['indie r&b', 'pop']"
3,The Used,spotify:artist:55VydwMyCuGcavwPuhutPL,Take It Away,0.275,0.893,"['emo', 'post-hardcore', 'screamo']"
4,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Nina Cried Power,0.365,0.875,"['irish singer-songwriter', 'pop']"
5,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Almost (Sweet Music),0.523,0.687,"['irish singer-songwriter', 'pop']"
6,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Movement,0.381,0.502,"['irish singer-songwriter', 'pop']"
7,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,No Plan,0.456,0.75,"['irish singer-songwriter', 'pop']"
8,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Nobody,0.677,0.833,"['irish singer-songwriter', 'pop']"
9,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,To Noise Making (Sing),0.619,0.556,"['irish singer-songwriter', 'pop']"
10,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,As It Was,0.398,0.154,"['irish singer-songwriter', 'pop']"
11,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Shrike,0.506,0.275,"['irish singer-songwriter', 'pop']"
12,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Talk,0.397,0.538,"['irish singer-songwriter', 'pop']"
13,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Be,0.227,0.798,"['irish singer-songwriter', 'pop']"
14,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Dinner & Diatribes,0.499,0.769,"['irish singer-songwriter', 'pop']"
15,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Would That I,0.521,0.526,"['irish singer-songwriter', 'pop']"
16,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Sunlight,0.464,0.559,"['irish singer-songwriter', 'pop']"
17,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,"Wasteland, Baby!",0.427,0.407,"['irish singer-songwriter', 'pop']"
18,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Take Me To Church,0.456,0.67,"['irish singer-songwriter', 'pop']"
19,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Angel Of Small Death & The Codeine Scene,0.416,0.643,"['irish singer-songwriter', 'pop']"
20,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Jackie And Wilson,0.56,0.728,"['irish singer-songwriter', 'pop']"
21,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Someone New,0.604,0.53,"['irish singer-songwriter', 'pop']"
22,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,To Be Alone,0.56,0.446,"['irish singer-songwriter', 'pop']"
23,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,From Eden,0.394,0.68,"['irish singer-songwriter', 'pop']"
24,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,In A Week,0.478,0.276,"['irish singer-songwriter', 'pop']"
25,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Sedated,0.548,0.615,"['irish singer-songwriter', 'pop']"
26,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Work Song,0.532,0.389,"['irish singer-songwriter', 'pop']"
27,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Like Real People Do,0.543,0.17,"['irish singer-songwriter', 'pop']"
28,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,It Will Come Back,0.336,0.445,"['irish singer-songwriter', 'pop']"
29,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Foreigner's God,0.33,0.461,"['irish singer-songwriter', 'pop']"
30,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Cherry Wine - Live,0.553,0.11,"['irish singer-songwriter', 'pop']"
31,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,In The Woods Somewhere,0.357,0.419,"['irish singer-songwriter', 'pop']"
32,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Run,0.486,0.394,"['irish singer-songwriter', 'pop']"
33,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Arsonist's Lullabye,0.362,0.421,"['irish singer-songwriter', 'pop']"
34,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,My Love Will Never Die,0.482,0.0554,"['irish singer-songwriter', 'pop']"
35,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,From Eden - Live,0.398,0.802,"['irish singer-songwriter', 'pop']"
36,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Jackie And Wilson - Live,0.254,0.799,"['irish singer-songwriter', 'pop']"
37,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Someone New - Live,0.415,0.772,"['irish singer-songwriter', 'pop']"
38,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Work Song - Live,0.385,0.492,"['irish singer-songwriter', 'pop']"
39,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Take Me To Church - Live,0.33,0.741,"['irish singer-songwriter', 'pop']"
