,Position,Artists,Songs,Genre,Danceability,Energy,Duration
0,1,DaBaby Featuring Roddy Ricch,Rockstar,"['north carolina hip hop', 'rap']",0.746,0.69,181.73334
1,2,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap', 'trap']",0.923,0.604,139.74132
2,3,DJ Khaled Featuring Drake,Popstar,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.8,0.56,200.22118
3,4,The Weeknd,Blinding Lights,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.514,0.73,200.04
4,5,SAINt JHN,Roses,"['melodic rap', 'pop rap', 'rap', 'trap']",0.77,0.724,176.84
5,6,Megan Thee Stallion Featuring Beyonce,Savage,[],0.767,0.481,171.37497
6,7,Harry Styles,Watermelon Sugar,"['pop', 'post-teen pop']",0.548,0.816,174.0
7,8,DJ Khaled Featuring Drake,Greece,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.695,0.343,218.9016
8,9,Juice WRLD x Marshmello,Come & Go,"['chicago rap', 'melodic rap']",0.625,0.814,205.48476
9,10,Chris Brown & Young Thug,Go Crazy,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0.755,0.578,176.96
10,11,Lil Mosey,Blueberry Faygo,"['melodic rap', 'rap conscient', 'vapor trap']",0.774,0.554,162.54668
11,12,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),[],0.767,0.481,171.37497
12,13,Juice WRLD,Wishing Well,"['chicago rap', 'melodic rap']",0.65,0.613,194.62132
13,14,Lady Gaga & Ariana Grande,Rain On Me,"['dance pop', 'pop']",0.672,0.855,182.2
14,15,Harry Styles,Adore You,"['pop', 'post-teen pop']",0.676,0.771,207.13333
15,16,Gabby Barrett,I Hope,"['big room', 'chicago house', 'edm', 'electro house', 'electropop', 'house', 'pop', 'progressive house', 'tropical house', 'vocal house']",0.755,0.338,191.42313
16,17,Dua Lipa,Break My Heart,"['dance pop', 'pop', 'uk pop']",0.73,0.729,221.82018
17,18,Post Malone,Circles,"['dfw rap', 'melodic rap', 'rap']",0.695,0.762,215.28
18,19,Lewis Capaldi,Before You Go,"['pop', 'uk pop']",0.459,0.575,215.10667
19,20,Lil Baby & 42 Dugg,We Paid,"['atl hip hop', 'atl trap', 'rap']",0.926,0.542,181.92899
20,21,Doja Cat Featuring Nicki Minaj,Say So,"['la indie', 'pop']",0.787,0.673,237.89333
21,22,Justin Bieber Featuring Quavo,Intentions,"['canadian pop', 'pop', 'post-teen pop']",0.811,0.553,212.86867
22,23,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,['brooklyn drill'],0.823,0.586,190.4762
23,24,StaySolidRocky,Party Girl,[],0.728,0.431,147.80042
24,25,Luke Bryan,One Margarita,"['contemporary country', 'country', 'country road']",0.641,0.842,193.42667
25,26,Miranda Lambert,Bluebird,"['calming instrumental', 'classify', 'focus']",0.448,0.111,204.6293
26,27,Dua Lipa,Don't Start Now,"['dance pop', 'pop', 'uk pop']",0.794,0.793,183.29048
27,28,Future Featuring Drake,Life Is Good,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.676,0.609,237.73546
28,29,Powfu Featuring beabadoobee,Death Bed,[],0.726,0.431,173.33333
29,30,Trevor Daniel,Falling,"['alternative r&b', 'melodic rap', 'pop rap']",0.784,0.43,159.38177
30,31,Maren Morris,The Bones,"['contemporary country', 'pop', 'texas country']",0.561,0.597,197.29887
31,32,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,['brooklyn drill'],0.49,0.618,201.6
32,33,Sam Hunt,Hard To Forget,"['contemporary country', 'country pop']",0.689,0.689,204.76
33,34,Roddy Ricch,The Box,['melodic rap'],0.896,0.586,196.6526
34,35,Maddie & Tae,Die From A Broken Heart,[],0.6,0.518,188.29333
35,36,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side,"['chicago rap', 'melodic rap']",0.701,0.65,160.21211
36,37,Lil Baby,The Bigger Picture,"['atl hip hop', 'atl trap', 'rap']",0.59,0.618,252.72858
37,38,Juice WRLD,Conversations,"['chicago rap', 'melodic rap']",0.747,0.622,181.66113
38,39,Morgan Wallen,Chasin' You,"['contemporary country', 'country road', 'deep talent show']",0.631,0.591,205.45332
39,40,Surfaces,Sunday Best,"['bedroom soul', 'pop']",0.878,0.525,158.57143
40,41,Rod Wave Featuring ATR Son Son,Rags2Riches,['florida rap'],0.904,0.252,167.18367
41,42,Juice WRLD X Halsey,Life's A Mess,"['chicago rap', 'melodic rap']",0.63,0.446,202.19333
42,43,Lil Baby,Emotionally Scarred,"['atl hip hop', 'atl trap', 'rap']",0.585,0.641,197.52966
43,44,Moneybagg Yo,Said Sum,"['rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0.929,0.667,155.16817
44,45,Drake,Toosie Slide,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0.834,0.454,247.05882
45,46,Megan Thee Stallion,Girls In The Hood,"['houston rap', 'pop', 'pop rap', 'trap queen']",0.821,0.863,154.32394
46,47,BENEE Featuring Gus Dapperton,Supalonely,"['nz pop', 'pop']",0.863,0.631,223.48
47,48,NLE Choppa Featuring Roddy Ricch,Walk Em Down,['memphis hip hop'],0.867,0.744,173.28816
48,49,Juice WRLD,Blood On My Jeans,"['chicago rap', 'melodic rap']",0.868,0.55,154.76726
49,50,LOCASH,One Big Country Song,"['contemporary country', 'country pop', 'country rap', 'country road', 'modern country rock']",0.547,0.822,193.02667
50,51,Juice WRLD,Righteous,"['chicago rap', 'melodic rap']",0.706,0.625,242.18073
51,52,JP Saxe Featuring Julia Michaels,If The World Was Ending,"['canadian contemporary r&b', 'pop']",0.464,0.473,208.68735
52,53,Jason Aldean,Got What I Got,"['contemporary country', 'country', 'country road']",0.512,0.58,178.14667
53,54,Florida Georgia Line,I Love My Country,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",0.527,0.943,184.57329
54,55,Pop Smoke,Got It On Me,['brooklyn drill'],0.688,0.647,164.57968
55,56,Chris Janson,Done,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",0.856,0.632,180.49333
56,57,Doja Cat Featuring Gucci Mane,Like That,"['la indie', 'pop']",0.879,0.499,163.17332
57,58,Ariana Grande & Justin Bieber,Stuck With U,"['dance pop', 'pop', 'post-teen pop']",0.597,0.45,228.48213
58,59,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,"['contemporary country', 'country', 'country road']",0.509,0.493,173.96095
59,60,Young T & Bugsey Featuring Headie One,Don't Rush,"['afroswing', 'uk drill', 'uk hip hop']",0.961,0.461,207.64
60,61,Marshmello & Halsey,Be Kind,"['brostep', 'pop', 'progressive electro house']",0.63,0.633,172.76154
61,62,Juice WRLD,Titanic,"['chicago rap', 'melodic rap']",0.568,0.545,176.64984
62,63,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,"['dance pop', 'pop', 'pop rap']",0.894,0.635,249.14285
